"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180529,2018-05-29,090741,CME ,00,090 ,  147495,   25067,   14711,   21415,   30696,   23548,    4089,   20058,   43937,    6994,   10677,    1015,     462,  119458,  116171,   28037,   31324,   11377,   -2027,     767,   12169,     737,    1795,     204,    7697,    -627,   -4982,    1637,      -4,    -402,   15033,    8920,   -3656,    2457,  100.0,   17.0,   10.0,   14.5,   20.8,   16.0,    2.8,   13.6,   29.8,    4.7,    7.2,    0.7,    0.3,   81.0,   78.8,   19.0,   21.2,     98,     10,.,      7,     11,     14,      4,     19,     28,     18,     10,.,.,     64,     66,    33.0,    32.0,    44.4,    43.9,    20.3,    21.7,    30.5,    31.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",180529,2018-05-29,092741,CME ,00,092 ,  107190,   73380,    1422,    3865,    2118,   19972,     196,   15790,   51266,     801,     480,    1625,       0,   96630,   79147,   10560,   28043,    2932,    1825,    -363,    3526,     344,    -824,       0,   -7307,    1263,     147,       0,       0,       0,   -1465,    3749,    4397,    -817,  100.0,   68.5,    1.3,    3.6,    2.0,   18.6,    0.2,   14.7,   47.8,    0.7,    0.4,    1.5,    0.0,   90.1,   73.8,    9.9,   26.2,     61,      9,.,.,.,     12,.,      8,     25,      4,.,.,      0,     23,     46,    63.4,    29.5,    75.9,    43.7,    59.8,    29.5,    72.4,    42.8,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE",180529,2018-05-29,096742,CME ,00,096 ,  205778,   64632,   39156,    2013,   37727,   69176,    4559,   54747,   35823,   10151,    2341,   10026,     125,  176295,  171029,   29483,   34749,   19261,   12501,   -2184,    -213,   -3406,    4767,     422,   11037,   12952,    -916,    2341,   -1255,       1,   21767,   13574,   -2506,    5687,  100.0,   31.4,   19.0,    1.0,   18.3,   33.6,    2.2,   26.6,   17.4,    4.9,    1.1,    4.9,    0.1,   85.7,   83.1,   14.3,   16.9,    125,      8,      9,      5,     13,     26,      8,     29,     29,     19,      4,      6,.,     69,     90,    38.5,    28.3,    50.7,    40.7,    37.9,    27.6,    49.3,    40.0,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",180529,2018-05-29,097741,CME ,00,097 ,  171339,   40918,   30715,    5506,   30690,   30934,    5386,   52259,   54772,    6598,    2132,    1075,      35,  143524,  135021,   27815,   36318,   -3977,   -5521,    -496,    1736,   -1445,   -7145,    -149,   -5833,    2902,    4337,    -261,    -490,      32,   -7104,     727,    3127,   -4704,  100.0,   23.9,   17.9,    3.2,   17.9,   18.1,    3.1,   30.5,   32.0,    3.9,    1.2,    0.6,    0.0,   83.8,   78.8,   16.2,   21.2,    119,      6,     11,      8,     15,     21,      9,     31,     27,     15,      5,.,.,     75,     77,    23.7,    28.7,    34.6,    41.0,    22.9,    27.9,    33.1,    39.1,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",180529,2018-05-29,099741,CME ,00,099 ,  552251,   75345,  227876,   11120,  247321,  104495,   35063,   70434,   88324,   11060,   20094,   10495,    1862,  472299,  490295,   79952,   61956,   31603,   10239,   -9004,    5110,  -10557,    7125,    6341,    9586,   16788,    -136,    1833,     210,     793,   23209,   27227,    8394,    4376,  100.0,   13.6,   41.3,    2.0,   44.8,   18.9,    6.3,   12.8,   16.0,    2.0,    3.6,    1.9,    0.3,   85.5,   88.8,   14.5,   11.2,    275,     21,      8,     13,     85,     37,     44,     32,     54,     28,     26,     10,      6,    193,    173,    17.9,    41.7,    28.6,    50.8,    17.3,    40.7,    27.1,    49.6,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180529,2018-05-29,232741,CME ,00,232 ,  155973,   85868,   12648,    1385,    4237,   44229,    1893,   37476,   52888,    2591,    1803,    1532,      68,  135321,  117234,   20652,   38739,    5653,    2087,    -700,     844,    1455,    7541,     312,     273,   -1180,      31,   -1882,     -15,      21,    3141,    6854,    2512,   -1201,  100.0,   55.1,    8.1,    0.9,    2.7,   28.4,    1.2,   24.0,   33.9,    1.7,    1.2,    1.0,    0.0,   86.8,   75.2,   13.2,   24.8,     86,      9,      4,.,      6,     14,      4,     20,     27,     13,.,      4,.,     49,     58,    55.3,    33.0,    66.7,    44.2,    55.3,    32.8,    65.8,    44.0,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","FutOnly"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",180529,2018-05-29,299741,CME ,00,099 ,   36658,       0,   24610,       0,   17561,    4936,    1896,    3516,       0,       0,       0,     771,       5,   22978,   32218,   13680,    4440,    1349,       0,      81,       0,    -379,    1125,     -69,    1778,    -419,       0,       0,       0,       0,    1330,     718,      19,     631,  100.0,    0.0,   67.1,    0.0,   47.9,   13.5,    5.2,    9.6,    0.0,    0.0,    0.0,    2.1,    0.0,   62.7,   87.9,   37.3,   12.1,     28,      0,.,      0,     13,      7,      8,      4,      0,      0,      0,.,.,     21,     16,    33.4,    72.3,    45.4,    81.9,    32.4,    70.0,    43.8,    79.1,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","FutOnly"
"EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE",180529,2018-05-29,399741,CME ,00,099 ,   24721,     689,    3042,     496,    8353,   10860,    2194,    6904,    1129,       3,       0,       0,       0,   18639,   17724,    6082,    6997,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,    2.8,   12.3,    2.0,   33.8,   43.9,    8.9,   27.9,    4.6,    0.0,    0.0,    0.0,    0.0,   75.4,   71.7,   24.6,   28.3,     20,.,.,.,      5,      7,      8,      4,.,.,      0,      0,      0,     17,     13,    51.9,    52.8,    63.8,    65.6,    51.3,    50.0,    60.8,    59.4,"(CONTRACTS OF EUR 125,000)","399741","CME ","099 ","F10","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180529,2018-05-29,089741,CME ,00,089 ,   26522,    2350,   22286,       1,   12589,     192,       0,    8552,    1160,      13,     225,     245,       0,   23730,   23897,    2792,    2625,      29,    -255,       1,      -5,     586,      -6,       0,    -290,    -125,       1,    -218,    -150,       0,    -181,    -284,     210,     313,  100.0,    8.9,   84.0,    0.0,   47.5,    0.7,    0.0,   32.2,    4.4,    0.0,    0.8,    0.9,    0.0,   89.5,   90.1,   10.5,    9.9,     24,.,      4,.,.,.,      0,      9,.,.,.,.,      0,     16,     11,    69.6,    84.0,    83.7,    89.5,    69.6,    84.0,    83.7,    89.5,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",180529,2018-05-29,095741,CME ,00,095 ,  181671,   31787,   88644,    1188,   86027,   24106,       0,   51614,   47621,    4853,    1967,    9349,       0,  177436,  175761,    4235,    5910,   -2614,   21806,    8955,   -5303,  -11774,    1681,     -17,   -6787,   -8941,     445,     -60,     -34,       0,   -1690,   -3214,    -924,     600,  100.0,   17.5,   48.8,    0.7,   47.4,   13.3,    0.0,   28.4,   26.2,    2.7,    1.1,    5.1,    0.0,   97.7,   96.7,    2.3,    3.3,    138,      5,      8,.,     12,     10,      0,     34,     46,     11,      5,     18,      0,     64,     87,    63.4,    55.1,    75.2,    69.9,    63.4,    54.6,    75.2,    69.4,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
